scorer,plate,row,column,ROI,,,,,,,,
MG,18.1,C,6,46,49,54,,,,,,
MG,18.1,D,1,78,91,92,,,,,,
MG,18.1,D,2,90,,,,,,,,
MG,18.1,D,3,88,108,,,,,,,
MG,18.1,D,4,83,81,,,,,,,
MG,18.1,D,5,80,,,,,,,,
MG,18.1,D,6,89,,,,,,,,
MG,18.2,A,1,18,,,,,,,,
MG,18.2,A,2,14,,,,,,,,
MG,18.2,A,3,13,16,20,19,24,27,,,
MG,18.2,A,4,25,,,,,,,,
MG,18.2,A,5,15,28,,,,,,,
MG,18.2,A,6,17,26,,,,,,,
MG,18.2,B,1,40,,,,,,,,
MG,18.2,B,2,43,,,,,,,,
MG,18.2,B,3,45,,,,,,,,
MG,18.2,B,4,38,36,,,,,,,
MG,18.2,B,5,35,,,,,,,,
MG,18.2,B,6,34,39,42,29,30,,,,
MG,18.2,C,1,55,60,62,,,,,,
MG,18.2,C,2,58,,,,,,,,
MG,18.2,C,3,48,59,,,,,,,
MG,18.2,C,4,51,57,,,,,,,
MG,18.2,C,5,47,54,,,,,,,
MG,18.2,C,6,50,56,64,,,,,,
MG,18.2,D,1,83,103,78,,,,,,
MG,18.2,D,2,71,,,,,,,,
MG,18.2,D,3,86,,,,,,,,
MG,18.2,D,4,75,,,,,,,,
MG,18.2,D,5,74,,,,,,,,
MG,18.2,D,6,76,82,80,,,,,,
MG,19.1,A,1,8,,,,,,,,
MG,19.1,A,2,5,,,,,,,,
MG,19.1,A,3,6,,,,,,,,
MG,19.1,A,4,2,,,,,,,,
MG,19.1,A,5,3,4,,,,,,,
MG,19.1,A,6,9,7,,,,,,,
MG,19.1,B,1,18,,,,,,,,
