notes,collector,plate,row,column,ROI,,,,,,,,,
,DL,12.1,C,5,63,,,,,,,,,
,DL,12.1,C,4,57,56,59,67,,,,,,
,DL,12.1,C,3,50,60,65,72,,,,,,
,DL,12.1,C,2,55,66,68,64,70,69,,,,
,DL,12.1,C,1,54,,,,,,,,,
,DL,12.1,B,6,81,91,99,,,,,,,
,DL,12.1,B,5,82,84,,,,,,,,
,DL,12.1,B,4,89,,,,,,,,,
,DL,12.1,B,3,85,77,106,,,,,,,
,DL,12.1,B,2,88,96,101,,,,,,,
,DL,12.1,B,1,97,,,,,,,,,
,DL,12.1,A,6,135,,,,,,,,,
,DL,12.1,A,5,NA,,,,,,,,,
,DL,12.1,A,4,156,157,,,,,,,,
,DL,12.1,A,3,125,165,195,,,,,,,
,DL,12.1,A,2,126,136,134,146,,,,,,
,DL,12.1,A,1,143,,,,,,,,,
,DL,12.2,D,6,NA,,,,,,,,,
,DL,12.2,D,5,33,25,,,,,,,,
,DL,12.2,D,4,NA,,,,,,,,,
,DL,12.2,D,3,48,46,50,,,,,,,
,DL,12.2,D,2,32,52,49,,,,,,,
,DL,12.2,D,1,NA,,,,,,,,,
,DL,12.2,C,6,82,92,,,,,,,,
,DL,12.2,C,5,98,99,,,,,,,,
,DL,12.2,C,4,94,91,,,,,,,,
,DL,12.2,C,3,100,101,113,104,118,,,,,
