notes,Scorer,plate,row,column,ROI,,,,,,,,,,,,,,
,MG,9.2,D,2,112,,,,,,,,,,,,,,
,MG,9.2,D,3,114,,,,,,,,,,,,,,
,MG,9.2,D,4,121,,,,,,,,,,,,,,
,MG,9.2,D,5,115,,,,,,,,,,,,,,
,MG,9.2,D,6,111,152,,,,,,,,,,,,,
,MG,10.1,A,1,26,22,28,,,,,,,,,,,,
,MG,10.1,A,2,11,14,25,,,,,,,,,,,,
,MG,10.1,A,3,19,,,,,,,,,,,,,,
,MG,10.1,A,4,24,16,27,,,,,,,,,,,,
,MG,10.1,A,5,21,30,,,,,,,,,,,,,
,MG,10.1,A,6,20,,,,,,,,,,,,,,
,MG,10.1,B,1,45,48,,,,,,,,,,,,,
,MG,10.1,B,2,40,,,,,,,,,,,,,,
,MG,10.1,B,3,46,,,,,,,,,,,,,,
,MG,10.1,B,4,31,,,,,,,,,,,,,,
,MG,10.1,B,5,42,,,,,,,,,,,,,,
,MG,10.1,B,6,47,44,,,,,,,,,,,,,
,MG,10.1,C,1,57,,,,,,,,,,,,,,
,MG,10.1,C,2,56,59,,,,,,,,,,,,,
,MG,10.1,C,3,53,65,67,,,,,,,,,,,,
,MG,10.1,C,4,69,71,,,,,,,,,,,,,
,MG,10.1,C,5,76,63,64,54,,,,,,,,,,,
,MG,10.1,C,6,68,66,158,,,,,,,,,,,,
,MG,10.1,D,1,123,,,,,,,,,,,,,,
,MG,10.1,D,2,103,,,,,,,,,,,,,,
,MG,10.1,D,3,116,,,,,,,,,,,,,,
,MG,10.1,D,4,112,115,,,,,,,,,,,,,
,MG,10.1,D,5,117,,,,,,,,,,,,,,
,MG,10.1,D,6,108,,,,,,,,,,,,,,
,MG,10.2,A,1,12,,,,,,,,,,,,,,
,MG,10.2,A,2,11,,,,,,,,,,,,,,
,MG,10.2,A,3,10,,,,,,,,,,,,,,
,MG,10.2,A,4,14,21,,,,,,,,,,,,,
,MG,10.2,A,5,22,24,,,,,,,,,,,,,
,MG,10.2,A,6,5,16,19,,,,,,,,,,,,
,MG,10.2,B,1,49,47,,,,,,,,,,,,,
,MG,10.2,B,2,50,51,,,,,,,,,,,,,
,MG,10.2,B,3,55,,,,,,,,,,,,,,
,MG,10.2,B,4,57,54,59,62,64,,,,,,,,,,
,MG,10.2,B,5,60,,,,,,,,,,,,,,
,MG,10.2,B,6,63,66,,,,,,,,,,,,,
,MG,10.2,C,1,90,,,,,,,,,,,,,,
,MG,10.2,C,2,98,86,83,,,,,,,,,,,,
,MG,10.2,C,3,79,85,,,,,,,,,,,,,
,MG,10.2,C,4,88,101,103,102,106,97,,,,,,,,,
,MG,10.2,C,5,87,95,91,,,,,,,,,,,,
,MG,10.2,C,6,89,94,96,99,,,,,,,,,,,
,MG,10.2,D,1,144,151,156,,,,,,,,,,,,
,MG,10.2,D,2,120,127,,,,,,,,,,,,,
,MG,10.2,D,3,145,130,,,,,,,,,,,,,
