collector,plate,row,column,ROI,,,,,,,,,,
SP,42.2,C,1,25,,,,,,,,,,
SP,42.2,B,6,15,,,,,,,,,,
SP,42.2,B,5,21,,,,,,,,,,
SP,42.2,B,4,19,22,,,,,,,,,
SP,42.2,B,3,16,,,,,,,,,,
SP,42.2,B,2,17,,,,,,,,,,
SP,42.2,B,1,18,23,20,,,,,,,,
SP,42.2,A,6,7,13,14,,,,,,,,
SP,42.2,A,5,3,8,11,,,,,,,,
SP,42.2,A,4,5,12,,,,,,,,,
SP,42.2,A,3,4,,,,,,,,,,
SP,42.2,A,2,9,,,,,,,,,,
SP,42.2,A,1,6,10,,,,,,,,,
